id,label
5610,deal_rejected
28931,deal_accepted
5105,timeout
18977,deal_rejected
16068,deal_accepted
7543,counter_proposed
23112,deal_rejected
5158,deal_rejected
1294,timeout
3197,deal_rejected
7994,deal_rejected
8985,deal_rejected
21120,deal_accepted
9489,deal_accepted
19348,timeout
15036,counter_proposed
6381,deal_rejected
2947,timeout
15839,deal_rejected
11366,deal_rejected
19082,deal_accepted
20272,counter_proposed
14015,counter_proposed
18770,deal_accepted
20302,deal_rejected
13308,deal_accepted
17341,counter_proposed
15872,counter_proposed
14673,counter_proposed
11601,timeout
8565,deal_accepted
17506,deal_rejected
26167,deal_accepted
13048,deal_rejected
19268,deal_accepted
15635,counter_proposed
16341,deal_accepted
1099,deal_accepted
21847,deal_rejected
23734,counter_proposed
21762,deal_rejected
25830,timeout
15634,deal_accepted
26748,deal_rejected
29833,counter_proposed
25880,deal_accepted
2271,timeout
7836,deal_accepted
7629,deal_rejected
17575,deal_accepted
28657,deal_rejected
7932,counter_proposed
522,counter_proposed
4999,deal_accepted
14164,deal_accepted
992,timeout
12202,timeout
5230,deal_accepted
9866,counter_proposed
19869,deal_rejected
4404,deal_rejected
813,deal_accepted
1932,counter_proposed
16155,counter_proposed
22746,deal_rejected
20498,deal_rejected
15799,deal_rejected
12372,deal_accepted
12244,counter_proposed
12043,counter_proposed
13020,deal_accepted
13137,counter_proposed
19658,deal_rejected
29222,counter_proposed
27399,deal_rejected
14114,deal_rejected
1172,counter_proposed
29369,counter_proposed
21897,timeout
21334,deal_accepted
20945,deal_rejected
17754,deal_rejected
6426,deal_accepted
858,timeout
330,deal_accepted
16175,timeout
5559,counter_proposed
13516,deal_accepted
1054,deal_rejected
29453,deal_accepted
4402,timeout
9618,counter_proposed
3906,deal_accepted
29246,deal_accepted
3133,deal_rejected
6978,counter_proposed
20527,timeout
1900,timeout
19942,counter_proposed
11933,counter_proposed
21828,deal_accepted
2983,counter_proposed
183,deal_rejected
25999,deal_accepted
9313,timeout
9143,deal_accepted
733,deal_rejected
20462,counter_proposed
27829,deal_rejected
14508,timeout
2434,deal_accepted
22400,counter_proposed
6796,deal_rejected
20700,deal_accepted
4784,counter_proposed
19580,deal_rejected
23862,deal_rejected
14358,deal_accepted
2405,counter_proposed
28040,deal_accepted
9624,timeout
17042,deal_rejected
4702,deal_rejected
10230,deal_rejected
348,deal_accepted
27884,timeout
6927,counter_proposed
18436,timeout
17131,timeout
20065,deal_accepted
9859,counter_proposed
24175,timeout
25106,deal_accepted
12660,deal_rejected
9287,timeout
29253,counter_proposed
10340,counter_proposed
11554,deal_accepted
26449,deal_accepted
10158,counter_proposed
7717,timeout
19198,deal_accepted
8540,timeout
28048,deal_accepted
20533,timeout
1776,deal_accepted
22333,counter_proposed
15262,deal_rejected
25016,counter_proposed
1201,counter_proposed
18613,deal_accepted
24082,deal_rejected
5510,deal_accepted
29170,counter_proposed
13043,timeout
13200,deal_accepted
18557,counter_proposed
26769,deal_rejected
25580,deal_rejected
24673,timeout
26998,counter_proposed
4126,counter_proposed
16074,deal_rejected
15374,deal_rejected
14004,deal_rejected
8448,timeout
29835,deal_accepted
8584,timeout
19340,deal_accepted
16421,timeout
10628,counter_proposed
23010,timeout
17748,timeout
21767,counter_proposed
23543,deal_rejected
1825,timeout
6259,counter_proposed
24617,counter_proposed
12515,counter_proposed
14913,deal_accepted
24229,timeout
1101,timeout
24699,counter_proposed
3109,counter_proposed
3363,counter_proposed
14023,deal_rejected
15440,deal_accepted
6770,counter_proposed
27280,counter_proposed
21549,timeout
11159,deal_rejected
7,deal_accepted
25001,counter_proposed
18500,counter_proposed
9962,deal_accepted
17594,deal_rejected
28796,deal_accepted
11404,deal_accepted
3342,timeout
21167,counter_proposed
1303,timeout
26117,deal_accepted
26404,deal_rejected
25749,timeout
11021,counter_proposed
3899,timeout
10668,deal_rejected
27100,counter_proposed
15821,deal_rejected
15363,counter_proposed
3310,timeout
2114,deal_rejected
556,counter_proposed
8042,timeout
1336,deal_rejected
28273,counter_proposed
28991,counter_proposed
5802,deal_accepted
15293,timeout
17513,deal_rejected
7278,timeout
27184,deal_accepted
15192,deal_rejected
14223,deal_rejected
3502,timeout
15002,counter_proposed
24349,deal_accepted
5268,deal_accepted
6031,counter_proposed
10191,deal_accepted
18152,counter_proposed
7080,counter_proposed
4038,timeout
23587,timeout
5820,counter_proposed
24489,deal_rejected
10277,timeout
15795,deal_accepted
19671,deal_rejected
13214,deal_accepted
20202,deal_accepted
17715,deal_rejected
27658,deal_rejected
6369,counter_proposed
21301,deal_accepted
11934,deal_rejected
28461,timeout
12262,timeout
19805,counter_proposed
4101,deal_rejected
28384,deal_rejected
5921,counter_proposed
12333,counter_proposed
18855,deal_accepted
20608,deal_rejected
10037,counter_proposed
21903,deal_accepted
27178,deal_accepted
12513,deal_rejected
26862,deal_accepted
15666,deal_rejected
10432,timeout
13635,deal_accepted
22498,deal_accepted
13630,deal_accepted
14326,deal_rejected
6698,counter_proposed
18793,deal_rejected
25758,deal_rejected
16929,counter_proposed
14521,timeout
